district,year,plan,winner,winner_plan,dem_share
9,1986,AL2,D,D,0.501
10,1986,AL2,D,D,0.576
11,1986,AL2,D,D,0.634
12,1986,AL2,D,D,0.602
13,1986,AL2,D,D,0.602
14,1986,AL2,D,X,0.421
15,1986,AL2,D,X,0.597
16,1986,AL2,R,R,0.143
17,1986,AL2,D,D,0.566
18,1986,AL2,D,D,0.846
19,1986,AL2,D,D,0.564
20,1986,AL2,D,D,0.607
21,1986,AL2,D,D,0.591
22,1986,AL2,D,D,0.562
23,1986,AL2,D,D,0.697
24,1986,AL2,D,D,0.559
25,1986,AL2,R,R,0.239
26,1986,AL2,D,D,0.590
27,1986,AL2,D,D,0.600
28,1986,AL2,D,D,0.702
29,1986,AL2,D,D,0.638
30,1986,AL2,D,D,0.657
31,1986,AL2,D,D,0.573
32,1986,AL2,R,R,0.378
33,1986,AL2,D,D,0.616
34,1986,AL2,R,R,0.324
35,1986,AL2,D,D,0.590
1,1990,AL2,D,D,0.740
2,1990,AL2,D,D,0.644
3,1990,AL2,D,D,0.639
4,1990,AL2,R,R,0.488
5,1990,AL2,D,D,0.672
6,1990,AL2,D,D,0.710
7,1990,AL2,D,D,0.631
8,1990,AL2,D,D,0.672
9,1990,AL2,D,D,0.574
10,1990,AL2,D,D,0.528
11,1990,AL2,D,D,0.648
12,1990,AL2,D,D,0.613
13,1990,AL2,D,D,0.660
14,1990,AL2,R,X,0.311
15,1990,AL2,R,X,0.400
16,1990,AL2,R,R,0.438
17,1990,AL2,D,D,0.638
18,1990,AL2,D,D,0.703
19,1990,AL2,D,D,0.629
20,1990,AL2,D,D,0.661
21,1990,AL2,D,D,0.649
22,1990,AL2,D,D,0.613
23,1990,AL2,D,D,0.700
24,1990,AL2,D,D,0.740
25,1990,AL2,R,R,0.438
26,1990,AL2,D,D,0.642
27,1990,AL2,D,D,0.739
28,1990,AL2,D,D,0.728
29,1990,AL2,D,D,0.667
30,1990,AL2,D,D,0.655
31,1990,AL2,D,D,0.579
32,1990,AL2,R,R,0.459
33,1990,AL2,D,D,0.738
34,1990,AL2,R,R,0.449
35,1990,AL2,D,D,0.644
1,1994,AL3,D,D,0.604
2,1994,AL3,D,D,0.522
3,1994,AL3,D,D,0.588
4,1994,AL3,R,X,0.384
5,1994,AL3,R,R,0.486
6,1994,AL3,D,D,0.478
7,1994,AL3,D,X,0.516
8,1994,AL3,D,D,0.543
9,1994,AL3,D,D,0.574
10,1994,AL3,R,X,0.435
11,1994,AL3,R,X,0.441
12,1994,AL3,D,X,0.574
13,1994,AL3,D,D,0.570
14,1994,AL3,R,R,0.357
15,1994,AL3,R,R,0.345
16,1994,AL3,R,R,0.257
17,1994,AL3,R,X,0.366
18,1994,AL3,D,D,0.686
19,1994,AL3,D,D,0.689
20,1994,AL3,D,D,0.687
21,1994,AL3,D,D,0.427
22,1994,AL3,D,D,0.616
23,1994,AL3,D,D,0.688
24,1994,AL3,D,D,0.619
25,1994,AL3,R,R,0.317
26,1994,AL3,D,D,0.747
27,1994,AL3,D,D,0.645
28,1994,AL3,D,D,0.763
29,1994,AL3,D,X,0.468
30,1994,AL3,D,D,0.552
31,1994,AL3,R,X,0.499
32,1994,AL3,R,R,0.308
33,1994,AL3,D,D,0.742
34,1994,AL3,R,R,0.217
35,1994,AL3,D,X,0.574
1,1998,AL3,D,D,0.711
2,1998,AL3,D,D,0.600
3,1998,AL3,D,D,0.737
4,1998,AL3,D,X,0.539
5,1998,AL3,R,R,0.453
6,1998,AL3,D,D,0.675
7,1998,AL3,R,X,0.493
8,1998,AL3,D,D,0.621
9,1998,AL3,D,D,0.648
10,1998,AL3,D,X,0.603
11,1998,AL3,D,X,0.525
12,1998,AL3,R,X,0.490
13,1998,AL3,D,D,0.686
14,1998,AL3,R,R,0.252
15,1998,AL3,R,R,0.431
16,1998,AL3,R,R,0.210
17,1998,AL3,D,X,0.459
18,1998,AL3,D,D,0.795
19,1998,AL3,D,D,0.799
20,1998,AL3,D,D,0.802
21,1998,AL3,D,D,0.501
22,1998,AL3,D,D,0.564
23,1998,AL3,D,D,0.730
24,1998,AL3,D,D,0.743
25,1998,AL3,R,R,0.272
26,1998,AL3,D,D,0.802
27,1998,AL3,D,D,0.638
28,1998,AL3,D,D,0.734
29,1998,AL3,R,X,0.388
30,1998,AL3,D,D,0.711
31,1998,AL3,D,X,0.501
32,1998,AL3,R,R,0.316
33,1998,AL3,D,D,0.788
34,1998,AL3,R,R,0.280
35,1998,AL3,R,X,0.415
1,2002,AL4,D,D,0.637
2,2002,AL4,D,X,0.578
3,2002,AL4,D,X,0.626
4,2002,AL4,D,X,0.631
5,2002,AL4,R,R,0.420
6,2002,AL4,D,D,0.607
7,2002,AL4,D,X,0.664
8,2002,AL4,D,X,0.583
9,2002,AL4,D,X,0.591
10,2002,AL4,D,X,0.679
11,2002,AL4,D,D,0.671
12,2002,AL4,R,R,0.406
13,2002,AL4,D,X,0.611
14,2002,AL4,R,R,0.467
15,2002,AL4,R,R,0.364
16,2002,AL4,R,R,0.323
17,2002,AL4,R,R,0.326
18,2002,AL4,D,D,0.735
19,2002,AL4,D,D,0.769
20,2002,AL4,D,D,0.757
21,2002,AL4,D,X,0.602
22,2002,AL4,D,D,0.512
23,2002,AL4,D,D,0.648
24,2002,AL4,D,D,0.698
25,2002,AL4,R,R,0.197
26,2002,AL4,D,D,0.721
27,2002,AL4,D,X,0.641
28,2002,AL4,D,D,0.607
29,2002,AL4,R,R,0.346
30,2002,AL4,D,X,0.622
31,2002,AL4,D,X,0.654
32,2002,AL4,R,R,0.467
33,2002,AL4,D,D,0.608
34,2002,AL4,R,R,0.366
35,2002,AL4,D,X,0.510
1,2006,AL4,D,D,0.638
2,2006,AL4,D,X,0.604
3,2006,AL4,R,X,0.376
4,2006,AL4,D,X,0.599
5,2006,AL4,R,R,0.442
6,2006,AL4,D,D,0.586
7,2006,AL4,D,X,0.655
8,2006,AL4,D,X,0.566
9,2006,AL4,D,X,0.535
10,2006,AL4,D,X,0.571
11,2006,AL4,D,D,0.644
12,2006,AL4,R,R,0.349
13,2006,AL4,D,X,0.506
14,2006,AL4,R,R,0.329
15,2006,AL4,R,R,0.296
16,2006,AL4,R,R,0.223
17,2006,AL4,R,R,0.304
18,2006,AL4,D,D,0.807
19,2006,AL4,D,D,0.817
20,2006,AL4,D,D,0.796
21,2006,AL4,D,X,0.694
22,2006,AL4,D,D,0.541
23,2006,AL4,D,D,0.657
24,2006,AL4,D,D,0.701
25,2006,AL4,R,R,0.257
26,2006,AL4,D,D,0.797
27,2006,AL4,D,X,0.608
28,2006,AL4,D,D,0.720
29,2006,AL4,R,R,0.247
30,2006,AL4,D,X,0.621
31,2006,AL4,D,X,0.563
32,2006,AL4,R,R,0.327
33,2006,AL4,D,D,0.715
34,2006,AL4,R,R,0.370
35,2006,AL4,R,X,0.491
1,2010,AL4,D,D,0.559
2,2010,AL4,R,X,0.411
3,2010,AL4,R,X,0.331
4,2010,AL4,R,X,0.422
5,2010,AL4,R,R,0.267
6,2010,AL4,D,D,0.534
7,2010,AL4,R,X,0.451
8,2010,AL4,R,X,0.493
9,2010,AL4,R,X,0.311
10,2010,AL4,R,X,0.463
11,2010,AL4,D,D,0.535
12,2010,AL4,R,R,0.363
13,2010,AL4,R,X,0.495
14,2010,AL4,R,R,0.309
15,2010,AL4,R,R,0.294
16,2010,AL4,R,R,0.246
17,2010,AL4,R,R,0.188
18,2010,AL4,D,D,0.797
19,2010,AL4,D,D,0.762
20,2010,AL4,D,D,0.787
21,2010,AL4,R,X,0.487
22,2010,AL4,D,D,0.554
23,2010,AL4,D,D,0.672
24,2010,AL4,D,D,0.698
25,2010,AL4,R,R,0.270
26,2010,AL4,D,D,0.774
27,2010,AL4,R,X,0.450
28,2010,AL4,D,D,0.704
29,2010,AL4,,R,
30,2010,AL4,R,X,0.430
31,2010,AL4,R,X,0.369
32,2010,AL4,R,R,0.305
33,2010,AL4,D,D,0.734
34,2010,AL4,R,R,0.287
35,2010,AL4,R,X,0.409
1,1972,AR1,D,D,0.674
2,1972,AR1,D,D,0.551
3,1972,AR1,D,D,0.540
4,1972,AR1,D,D,0.669
5,1972,AR1,D,D,0.662
6,1972,AR1,R,X,0.333
7,1972,AR1,D,D,0.615
8,1972,AR1,D,D,0.594
9,1972,AR1,D,X,0.583
10,1972,AR1,D,D,0.616
12,1972,AR1,D,D,0.694
13,1972,AR1,D,D,0.489
14,1972,AR1,D,D,0.550
15,1972,AR1,D,D,0.502
16,1972,AR1,D,D,0.676
17,1972,AR1,D,D,0.696
18,1972,AR1,D,D,0.693
19,1972,AR1,D,D,0.662
20,1972,AR1,D,D,0.466
21,1972,AR1,D,D,0.710
22,1972,AR1,D,D,0.652
23,1972,AR1,D,D,0.682
24,1972,AR1,D,D,0.668
25,1972,AR1,D,D,0.713
26,1972,AR1,D,D,0.641
27,1972,AR1,D,D,0.699
28,1972,AR1,D,D,0.726
29,1972,AR1,D,D,0.671
30,1972,AR1,D,D,0.540
31,1972,AR1,D,D,0.743
32,1972,AR1,D,D,0.705
33,1972,AR1,D,D,0.733
34,1972,AR1,D,D,0.737
35,1972,AR1,D,D,0.692
1,1974,AR1,D,D,0.780
2,1974,AR1,D,D,0.771
3,1974,AR1,D,D,
4,1974,AR1,D,D,
5,1974,AR1,D,D,
6,1974,AR1,R,X,0.429
7,1974,AR1,D,D,0.735
8,1974,AR1,D,D,0.589
9,1974,AR1,D,X,
10,1974,AR1,D,D,
12,1974,AR1,D,D,0.813
13,1974,AR1,D,D,
14,1974,AR1,D,D,0.777
15,1974,AR1,D,D,
16,1974,AR1,D,D,
17,1974,AR1,D,D,
18,1974,AR1,D,D,0.809
19,1974,AR1,D,D,0.798
20,1974,AR1,D,D,
21,1974,AR1,D,D,
22,1974,AR1,D,D,
23,1974,AR1,D,D,
24,1974,AR1,D,D,0.795
25,1974,AR1,D,D,
26,1974,AR1,D,D,0.760
27,1974,AR1,D,D,0.811
28,1974,AR1,D,D,0.745
29,1974,AR1,D,D,0.782
30,1974,AR1,D,D,
31,1974,AR1,D,D,
32,1974,AR1,D,D,0.828
33,1974,AR1,D,D,
34,1974,AR1,D,D,0.773
35,1974,AR1,D,D,0.814
1,1976,AR1,D,D,
2,1976,AR1,D,D,
3,1976,AR1,D,D,0.764
4,1976,AR1,D,D,0.763
5,1976,AR1,D,D,0.773
6,1976,AR1,R,X,
7,1976,AR1,D,D,
8,1976,AR1,D,D,
9,1976,AR1,D,X,0.622
10,1976,AR1,D,D,0.701
12,1976,AR1,D,D,
13,1976,AR1,D,D,0.689
14,1976,AR1,D,D,
15,1976,AR1,D,D,0.594
16,1976,AR1,D,D,0.864
17,1976,AR1,D,D,0.821
18,1976,AR1,D,D,
19,1976,AR1,D,D,
20,1976,AR1,D,D,0.602
21,1976,AR1,D,D,0.759
22,1976,AR1,D,D,0.778
23,1976,AR1,D,D,0.783
24,1976,AR1,D,D,
25,1976,AR1,D,D,0.813
26,1976,AR1,D,D,
27,1976,AR1,D,D,
28,1976,AR1,D,D,
29,1976,AR1,D,D,
30,1976,AR1,D,D,0.752
31,1976,AR1,D,D,0.820
32,1976,AR1,D,D,
33,1976,AR1,D,D,0.814
34,1976,AR1,D,D,
35,1976,AR1,D,D,
1,1978,AR1,D,D,0.787
2,1978,AR1,D,D,0.737
3,1978,AR1,D,D,
4,1978,AR1,D,D,
5,1978,AR1,D,D,
6,1978,AR1,D,X,0.561
7,1978,AR1,D,D,0.703
8,1978,AR1,D,D,0.546
9,1978,AR1,D,X,
10,1978,AR1,D,D,
12,1978,AR1,D,D,0.723
13,1978,AR1,D,D,
14,1978,AR1,D,D,0.804
15,1978,AR1,D,D,
16,1978,AR1,D,D,
17,1978,AR1,D,D,
18,1978,AR1,D,D,0.800
19,1978,AR1,D,D,0.761
20,1978,AR1,D,D,
21,1978,AR1,D,D,
22,1978,AR1,D,D,
23,1978,AR1,D,D,
24,1978,AR1,D,D,0.811
25,1978,AR1,D,D,
26,1978,AR1,D,D,0.786
27,1978,AR1,D,D,0.773
28,1978,AR1,D,D,0.787
29,1978,AR1,D,D,0.801
30,1978,AR1,D,D,
31,1978,AR1,D,D,
32,1978,AR1,D,D,0.814
33,1978,AR1,D,D,
34,1978,AR1,D,D,0.811
35,1978,AR1,D,D,0.790
1,1980,AR1,D,D,
2,1980,AR1,D,D,
3,1980,AR1,D,D,0.737
4,1980,AR1,D,D,0.729
5,1980,AR1,D,D,0.746
6,1980,AR1,D,X,
7,1980,AR1,D,D,
8,1980,AR1,D,D,
9,1980,AR1,R,X,0.443
10,1980,AR1,D,D,0.656
12,1980,AR1,D,D,
13,1980,AR1,D,D,0.595
14,1980,AR1,D,D,
15,1980,AR1,D,D,0.629
16,1980,AR1,D,D,0.814
17,1980,AR1,D,D,0.761
18,1980,AR1,D,D,
19,1980,AR1,D,D,
20,1980,AR1,D,D,0.595
21,1980,AR1,D,D,0.769
22,1980,AR1,D,D,0.755
23,1980,AR1,D,D,0.777
24,1980,AR1,D,D,
25,1980,AR1,D,D,0.772
26,1980,AR1,D,D,
27,1980,AR1,D,D,
28,1980,AR1,D,D,
29,1980,AR1,D,D,
30,1980,AR1,D,D,0.726
31,1980,AR1,D,D,0.760
32,1980,AR1,D,D,
33,1980,AR1,D,D,0.759
34,1980,AR1,D,D,
35,1980,AR1,D,D,
1,1982,AR2,R,R,0.425
2,1982,AR2,D,D,0.650
3,1982,AR2,D,X,0.642
4,1982,AR2,D,D,0.724
5,1982,AR2,D,D,0.735
6,1982,AR2,D,D,0.670
7,1982,AR2,D,D,0.660
8,1982,AR2,D,D,0.585
9,1982,AR2,D,D,0.571
10,1982,AR2,D,D,0.729
11,1982,AR2,D,D,0.707
12,1982,AR2,D,D,0.762
13,1982,AR2,R,R,0.354
14,1982,AR2,R,R,0.475
15,1982,AR2,D,D,0.696
16,1982,AR2,D,D,0.729
17,1982,AR2,D,D,0.690
18,1982,AR2,D,D,0.750
19,1982,AR2,D,D,0.758
20,1982,AR2,D,D,0.590
21,1982,AR2,D,D,0.750
22,1982,AR2,D,D,0.726
23,1982,AR2,D,D,0.626
24,1982,AR2,D,D,0.728
25,1982,AR2,D,D,0.621
26,1982,AR2,D,D,0.738
27,1982,AR2,D,D,0.800
28,1982,AR2,D,D,0.690
29,1982,AR2,D,D,0.575
30,1982,AR2,D,D,0.802
31,1982,AR2,D,D,0.727
32,1982,AR2,D,D,0.631
33,1982,AR2,D,D,0.695
34,1982,AR2,D,D,0.670
35,1982,AR2,D,D,0.749
1,1984,AR2,R,R,
2,1984,AR2,D,D,0.475
3,1984,AR2,R,X,0.476
4,1984,AR2,D,D,0.713
5,1984,AR2,D,D,
6,1984,AR2,D,D,0.515
7,1984,AR2,D,D,0.521
8,1984,AR2,D,D,
9,1984,AR2,D,D,
10,1984,AR2,D,D,0.700
11,1984,AR2,D,D,0.676
12,1984,AR2,D,D,
13,1984,AR2,R,R,
14,1984,AR2,R,R,0.267
15,1984,AR2,D,D,
16,1984,AR2,D,D,
17,1984,AR2,D,D,
18,1984,AR2,D,D,
19,1984,AR2,D,D,0.745
20,1984,AR2,D,D,
21,1984,AR2,D,D,
22,1984,AR2,D,D,
23,1984,AR2,D,D,
24,1984,AR2,D,D,0.724
25,1984,AR2,D,D,0.673
26,1984,AR2,D,D,0.727
27,1984,AR2,D,D,
28,1984,AR2,D,D,0.761
29,1984,AR2,D,D,0.604
30,1984,AR2,D,D,
31,1984,AR2,D,D,0.700
32,1984,AR2,D,D,
33,1984,AR2,D,D,0.657
34,1984,AR2,D,D,0.731
35,1984,AR2,D,D,0.745
1,1988,AR2,R,R,
2,1988,AR2,D,D,0.556
3,1988,AR2,R,X,0.434
4,1988,AR2,D,D,0.720
5,1988,AR2,D,D,
6,1988,AR2,D,D,0.627
7,1988,AR2,D,D,0.628
8,1988,AR2,D,D,
9,1988,AR2,D,D,
10,1988,AR2,D,D,0.647
11,1988,AR2,D,D,0.688
12,1988,AR2,D,D,
13,1988,AR2,R,R,
14,1988,AR2,R,R,0.358
15,1988,AR2,D,D,
16,1988,AR2,D,D,
17,1988,AR2,D,D,
18,1988,AR2,D,D,
19,1988,AR2,D,D,0.757
20,1988,AR2,D,D,
21,1988,AR2,D,D,
22,1988,AR2,D,D,
23,1988,AR2,D,D,
24,1988,AR2,D,D,0.725
25,1988,AR2,D,D,0.705
26,1988,AR2,D,D,0.720
27,1988,AR2,D,D,
28,1988,AR2,D,D,0.793
29,1988,AR2,D,D,0.661
30,1988,AR2,D,D,
31,1988,AR2,D,D,0.702
32,1988,AR2,D,D,
33,1988,AR2,D,D,0.669
34,1988,AR2,D,D,0.761
35,1988,AR2,D,D,0.740
1,1990,AR2.1,R,R,0.459
2,1990,AR2.1,D,D,
3,1990,AR2.1,R,R,
4,1990,AR2.1,D,D,
5,1990,AR2.1,D,D,0.636
6,1990,AR2.1,D,D,
7,1990,AR2.1,D,D,
8,1990,AR2.1,D,D,0.628
9,1990,AR2.1,D,D,0.623
10,1990,AR2.1,D,D,
11,1990,AR2.1,D,D,
12,1990,AR2.1,D,D,0.674
13,1990,AR2.1,R,R,0.399
14,1990,AR2.1,R,R,
15,1990,AR2.1,D,D,0.634
16,1990,AR2.1,D,D,0.657
17,1990,AR2.1,D,D,0.629
18,1990,AR2.1,D,D,0.599
19,1990,AR2.1,D,D,
20,1990,AR2.1,D,D,0.663
21,1990,AR2.1,D,D,0.662
22,1990,AR2.1,D,D,0.541
23,1990,AR2.1,D,D,0.631
24,1990,AR2.1,D,D,
25,1990,AR2.1,D,D,
26,1990,AR2.1,D,D,
27,1990,AR2.1,D,D,0.828
28,1990,AR2.1,D,D,
29,1990,AR2.1,D,D,
30,1990,AR2.1,D,D,0.671
31,1990,AR2.1,D,D,
32,1990,AR2.1,D,D,0.613
33,1990,AR2.1,D,D,
34,1990,AR2.1,D,D,
35,1990,AR2.1,D,D,
1,1992,AR3,D,D,0.664
2,1992,AR3,D,D,0.682
3,1992,AR3,D,D,0.652
4,1992,AR3,D,D,0.638
5,1992,AR3,D,D,0.621
6,1992,AR3,D,D,0.622
7,1992,AR3,D,D,0.793
8,1992,AR3,D,D,0.772
9,1992,AR3,D,D,0.643
10,1992,AR3,D,D,0.595
11,1992,AR3,R,R,0.460
12,1992,AR3,D,X,0.616
13,1992,AR3,D,D,0.588
14,1992,AR3,D,X,0.532
15,1992,AR3,R,X,0.460
16,1992,AR3,D,D,0.680
17,1992,AR3,D,D,0.784
18,1992,AR3,D,D,0.579
19,1992,AR3,D,D,0.538
20,1992,AR3,D,X,0.625
21,1992,AR3,D,D,0.601
22,1992,AR3,D,D,0.732
23,1992,AR3,D,D,0.549
24,1992,AR3,D,D,0.706
25,1992,AR3,D,D,0.628
26,1992,AR3,D,D,0.519
27,1992,AR3,D,X,0.597
28,1992,AR3,D,D,0.653
29,1992,AR3,D,X,0.669
30,1992,AR3,D,D,0.644
31,1992,AR3,D,D,0.635
32,1992,AR3,R,R,0.478
33,1992,AR3,D,X,0.477
34,1992,AR3,R,R,0.402
35,1992,AR3,D,D,0.657
1,1994,AR3,D,D,
2,1994,AR3,D,D,0.645
3,1994,AR3,D,D,
4,1994,AR3,D,D,
5,1994,AR3,D,D,
6,1994,AR3,D,D,
7,1994,AR3,D,D,0.726
8,1994,AR3,D,D,
9,1994,AR3,D,D,
10,1994,AR3,D,D,
11,1994,AR3,R,R,0.476
12,1994,AR3,D,X,
13,1994,AR3,D,D,
14,1994,AR3,R,X,0.411
15,1994,AR3,R,X,
16,1994,AR3,D,D,0.710
17,1994,AR3,D,D,0.784
18,1994,AR3,D,D,0.550
19,1994,AR3,D,D,0.591
20,1994,AR3,D,X,
21,1994,AR3,D,D,0.595
22,1994,AR3,D,D,
23,1994,AR3,D,D,0.526
24,1994,AR3,D,D,0.742
25,1994,AR3,D,D,
26,1994,AR3,D,D,0.554
27,1994,AR3,D,X,
28,1994,AR3,D,D,
29,1994,AR3,D,X,
30,1994,AR3,D,D,0.650
31,1994,AR3,D,D,0.648
32,1994,AR3,R,R,0.482
33,1994,AR3,R,X,0.413
34,1994,AR3,R,R,0.398
35,1994,AR3,D,D,0.665
1,1996,AR3,D,D,0.646
2,1996,AR3,D,D,
3,1996,AR3,D,D,0.623
4,1996,AR3,D,D,0.615
5,1996,AR3,D,D,0.514
6,1996,AR3,D,D,0.588
7,1996,AR3,D,D,
8,1996,AR3,D,D,0.804
9,1996,AR3,D,D,0.611
10,1996,AR3,D,D,0.528
11,1996,AR3,R,R,
12,1996,AR3,D,X,0.517
13,1996,AR3,D,D,0.525
14,1996,AR3,R,X,
15,1996,AR3,D,X,0.591
16,1996,AR3,D,D,
17,1996,AR3,D,D,
18,1996,AR3,D,D,
19,1996,AR3,D,D,
20,1996,AR3,D,X,0.575
21,1996,AR3,D,D,
22,1996,AR3,D,D,0.741
23,1996,AR3,D,D,
24,1996,AR3,D,D,
25,1996,AR3,D,D,0.615
26,1996,AR3,D,D,
27,1996,AR3,D,X,0.538
28,1996,AR3,D,D,0.599
29,1996,AR3,D,X,0.603
30,1996,AR3,D,D,
31,1996,AR3,D,D,
32,1996,AR3,R,R,
33,1996,AR3,R,X,
34,1996,AR3,R,R,
35,1996,AR3,D,D,
1,1998,AR3,D,D,
2,1998,AR3,D,D,0.617
3,1998,AR3,D,D,
4,1998,AR3,D,D,
5,1998,AR3,D,D,
6,1998,AR3,D,D,
7,1998,AR3,D,D,0.660
8,1998,AR3,D,D,
9,1998,AR3,D,D,
10,1998,AR3,D,D,
11,1998,AR3,R,R,0.494
12,1998,AR3,D,X,
13,1998,AR3,D,D,
14,1998,AR3,R,X,0.378
15,1998,AR3,D,X,
16,1998,AR3,D,D,0.621
17,1998,AR3,D,D,0.800
18,1998,AR3,D,D,0.619
19,1998,AR3,D,D,0.595
20,1998,AR3,D,X,
21,1998,AR3,D,D,0.563
22,1998,AR3,D,D,
23,1998,AR3,D,D,0.629
24,1998,AR3,D,D,0.641
25,1998,AR3,D,D,
26,1998,AR3,D,D,0.534
27,1998,AR3,D,X,
28,1998,AR3,D,D,
29,1998,AR3,D,X,
30,1998,AR3,D,D,0.569
31,1998,AR3,D,D,0.627
32,1998,AR3,R,R,0.379
33,1998,AR3,R,X,0.363
34,1998,AR3,R,R,0.332
35,1998,AR3,D,D,0.621
1,2000,AR3,D,D,0.519
2,2000,AR3,D,D,
3,2000,AR3,D,D,0.520
4,2000,AR3,D,D,0.499
5,2000,AR3,D,D,0.529
6,2000,AR3,D,D,0.482
7,2000,AR3,D,D,
8,2000,AR3,D,D,0.724
9,2000,AR3,D,D,0.505
10,2000,AR3,D,D,0.414
11,2000,AR3,R,R,
12,2000,AR3,R,X,0.441
13,2000,AR3,D,D,0.415
14,2000,AR3,R,X,
15,2000,AR3,D,X,0.545
16,2000,AR3,D,D,
17,2000,AR3,D,D,
18,2000,AR3,D,D,
19,2000,AR3,D,D,
20,2000,AR3,R,X,0.493
21,2000,AR3,D,D,
22,2000,AR3,D,D,0.648
23,2000,AR3,D,D,
24,2000,AR3,D,D,
25,2000,AR3,D,D,0.458
26,2000,AR3,D,D,
27,2000,AR3,R,X,0.420
28,2000,AR3,D,D,0.535
29,2000,AR3,R,X,0.353
30,2000,AR3,D,D,
31,2000,AR3,D,D,
32,2000,AR3,R,R,
33,2000,AR3,R,X,
34,2000,AR3,R,R,
35,2000,AR3,D,D,
1,2002,AR4,R,R,0.466
2,2002,AR4,D,D,0.566
3,2002,AR4,R,R,0.398
4,2002,AR4,R,R,0.417
5,2002,AR4,D,D,0.717
6,2002,AR4,D,X,0.597
7,2002,AR4,D,D,0.501
8,2002,AR4,R,R,0.404
9,2002,AR4,R,R,0.485
10,2002,AR4,D,X,0.524
11,2002,AR4,D,D,0.708
12,2002,AR4,D,D,0.612
13,2002,AR4,R,R,0.498
14,2002,AR4,D,D,0.529
15,2002,AR4,D,D,0.659
16,2002,AR4,D,D,0.618
17,2002,AR4,D,D,0.553
18,2002,AR4,D,X,0.624
19,2002,AR4,D,X,0.611
20,2002,AR4,D,D,0.617
21,2002,AR4,D,D,0.621
22,2002,AR4,D,X,0.589
23,2002,AR4,D,D,0.623
